"2021/07/08 9:01:37 PM GMT+1","5º ano","Zé gotinha e o mascote da vacina.","Darlan Rosa e o criador do Zé Gotinha.","As propagandas eram assustadora antes do Zé Gotinha .","O Zé Gotinha foi criado em 1986.","Era um boneco com duas gotinha de pólio. E a atualmente  ele tem braços e pernas e cabeça.","Porque ele não tinha nome.","Através  de um concurso .","Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha.","Foi um menino do Distrito Federal .","Incentivar a vacinação  sem medo.","Porque a vacina e para o nosso bem.","porque a vacina protege de doenças .","Doença que causa paralisia infantil .","Porque era a única tecnologia  naquela época .","Possui uma expressão do dócil e amável que derruba as barreiras do medo .","Atualmente ele trabalha  como  escultor .","Esse recurso serve para transcrever a fala das pessoas da reportagem .","sublinhado: Darlan virou até nome de prédio residencial na cidade . Circulado ""Aqui, sou uma pessoa ilustre” .","O medo e a campanha foi um sucesso.","Significa ter muito medo .","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:01:38 PM GMT+1","5º ano","O mascote da vacina.","Ele  foi o criador do Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","Ele foi criado em 1986.","Era um boneco com duas gotinhas de pólio. E hoje ele tem braços e pernas.","Porque ele ainda não tinha um nome.","Através de um concurso.","Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha.","Foi um menino do Distrito Federal.","Incentivar a vacinação sem medo.","Porque a vacina é para o nosso bem.","Porque ela nos protege de doenças.","Doença que causa paralisia infantil.","Porque era um meio de correspondência da época.","Possui uma expressão dócil e amável que derruba as barreiras do medo.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade. Sublinhado: ""Aqui sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:01:52 PM GMT+1","5º ano","O mascote da vacina.","Foi o criador do zé gotinha.","As propagandas eram assustaras antes do zé gotinha.","Foi criado em 1986.","Era um boneco com duas gotinhas de pólio. Atualmente ele tem braços e pernas.","Porque ele ainda não tinha nome.","Através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.","Foi um menino do distrito federal.","Incentivar as criança a se vacinarem sem medo.","Pois a vacina é para nosso bem.","Porque a vacina nos protege.","Doença que causa paralisia infantil.","Pois era um jeito de comunicação da época.","Porque ele nos transmiti força e coragem.","Atualmente ele é escultor em Brasília.","Esse recurso serve para transcrever as falas.","Sublinhado: Darlan virou nome de prédio residencial na cidade. Circulado Aqui, sou uma pessoa ilustre”.","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:02:02 PM GMT+1","5º ano","Foi o mascote da vacina.","Foi o criador do Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","Foi criado em 1986.","Era um boneco com duas gotinhas de pólio.Atualmente ele ele tem braços e pernas.","É porque ele ainda não tinha nome.","Através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha. ","Foi um menino do Distrito Federal.","Incentivar as crianças a se vacinarem sem medo.","Porque a vacina é para nosso bem.","Porque a vacina é para nos proteger.","Doença que causa paralisia infantil.","Porque era um meio de comunicação na época.","Porque ele nos transmite força e coragem.","Atualmente ele é escultor em Brasília.","Esse recurso serve para transcrever as falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.Circulado ''Aqui,sou uma pessoa ilustre''.","O medo e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo de Darlan Rosa,seu criador."
"2021/07/08 9:02:06 PM GMT+1","5º ano","Zé Gotinha e o mascote da vacina.","O criador do Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","1986.","era um boneco com duas gotas de pólio.Hoje ele tem braços e pernas.","Pois ele não tinha nome.","Através de um concurso.","Pela quantidade de cartas com o nome Zé Gotinha.","Foi um menino do Distrito Federal.","Incentivar a tomar vacina sem medo.","Porque ela  e para o nosso bem.","Porque a vacina nos protege.","Doença que causa paralisia infantil.","Porque era meio de comunicação daquela época.","Porque ele ele transmiti coragem e força.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever falas.","SUBLINHADO:DARLAM VIROU NOME DE PRÉDiO RESIDENCIAL NA CIDADE:''Circulado aqui,sou uma pessoa ilustre''.","O medo e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado no arquivo pessoal de DARLAN Rosa,seu criador."
"2021/07/08 9:02:07 PM GMT+1","5º ano","Zé Gotinha era o mascote da vacina.","Darlan Rosa é o criador do Zé Gotinha.","As propagandas eram totalmente assustadoras antes do Zé Gotinha.","O Zé Gotinha foi criado em 1986.","Quando o Zé Gotinha nasceu ele foi criado com apenas duas gotinha de pólio. Atualmente o 
mesmo possui cabeça ,braços e pernas.","Zé Gotinha apareceu no comercial chorando pois o mesmo não possuia um certo nome.","A escolha do nome do Zé Gotinha foi feita por um concurso de telespectadores que assistiram o comercial.","Os organizadores entenderam que o nome deveria ser Zé Gotinha pois receberão mais de 10 mil cartas falando esse nome.","Quem levou o prêmio foi um jovem do Distrito Federal.","A ideia principal do Zé Gotinha era incentivar as crianças a se vacinarem sem sentir medo 
já que isso era para o próprio bem das mesmas.","A vacina é um assunto sério pois ajuda a nos proteger de doenças como a febre amarela.","Não é preciso ter medo de tomar vacina pois ela serve para o nosso próprio bem.","Poliomielite é uma doença que causa paralisia nas crianças portanto ela não roda mais pelo
Brasil.","Eu acredito que que seja pelo fato de ser o meio de correspondência da época.","Há no personagem coragem.","Atualmente ele trabalha como escultor em Brasília.","Esse recurso serve para transcrever as falar criador do personagem.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ""Aqui sou uma pessoa ilustre."" Brincou o mesmo.","Barreira dos medos: Barreira dos medos seria o medo que as crianças sentiam de tomar uma agulhada.
Deslanchou: A campanha ficou famosa por isso ele usou a gíria deslanchou.","Morrer de medo: significa sentir muito medo, ser um pesadelo para todas as crianças.","A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa, o seu criador."
"2021/07/08 9:02:07 PM GMT+1","5º ano","o  mascote da vacina","foi o criador do Zé Gotinha","Eram assustadoras ","Em 1986","Era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.","Estava triste por ainda não ter um nome","Através de um concurso.","Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha","Um menino do Distrito Federal","Era incentivar as crianças vacinarem sem medo.","Porque a vacina protege contra doenças.","Porque a vacina é para o nosso bem, para nos proteger","Doença que causa paralisia nas crianças.","Porque era o meio de correspondência da época","Possui uma expressão dócil, amável que derruba as barreiras do medo","Atualmente ele trabalha como escultor","Para transcrever a fala das pessoas que participam da reportagem","Sublinhado: Darlan virou até nome de prédio residencial na cidade. Circulado: ""Aqui, sou uma pessoa ilustre""","O medo acabou e a  campanha foi um sucesso","Ter muito medo","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador"
"2021/07/08 9:02:22 PM GMT+1","5º ano","Zé Gotinha foi o mascote da vacina.","Darlan Rosa foi o criador do Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","Ele foi criado em 1986.","Era um boneco com duas gotinhas pólio, atualmente ele tem braços e pernas.","Ele chorava pois não tinha um nome.","Através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.","Foi um menino do Distrito Federal que levou o prêmio.","A ideia principal da campanha do Zé Gotinha era incentivar as crianças a se vacinarem sem medo.","Porque a vacina é para o nosso bem.","Porque a vacina nos protege.","Doença que causa paralisia nas crianças.","Porque era o meio de correspondência da época.","Porque ele transmite força e coragem.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever as falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.

Circulado: ""Aqui ,sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal Darlan Rosa, seu criador."
"2021/07/08 9:02:22 PM GMT+1","5º ano","Zé Gotinha é o mascote da vacina .","Darlan Rosa foi o criador do zé gotinha .","As propagandas eram assustadoras antes do zé gotinha .","Ele foi criado em 1986 .","Era um boneco com duas gotinhas de pólio. Hoje em dia ele tem braços e pernas.","Ele aparecia chorando ,pois ele não tinha um nome.","A escolha foi feita através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome zé Gotinha.","Foi um menino do Distrito Federal .","Incentivar as crianças a se vacinarem sem medo.","Porque a vacina é para o nosso bem.","Porque a vacina nos protege de doenças.","Doença que causa paralisia nas crianças.","Porque era o meio de correspondência da época.","Porque ele transmite força e coragem.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever as falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade 

Circulado:""Aqui ,sou uma pessoa ilustre"".","O medo acabou e campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal Darlan Rosa ,seu criador."
"2021/07/08 9:02:48 PM GMT+1","5º ano","Zé Gotinha era um mascote que representava a vacina da poliomielite com o objetivo de passar coragem as pessoas para que elas se vacinassem.","Darlan Rosa é o pai do personagem Zé Gotinha, criado em 1986.","Os médicos da época achavam que como a vacinação era algo sério, sua propaganda tinha de passar medo e ser assustadora, assim as pessoas teriam medo de ficar doente.","Zé Gotinha foi criado em 1986.","Quando Zé Gotinha nasceu, ele era uma representação da vacina em si, mas hoje é considerado como um mascote.","Zé Gotinha aparecia no comercial chorando, pois ele ainda não tinha nome.","A escolha foi feita por meio de um concurso, convidando os brasileiros a mandaram cartas com sugestões de nomes para o personagem.","Eles entenderam que o nome deveria ser Zé Gotinha, pois mais de 10 mil cartas foram enviadas com esse nome.","Um menino do Distrito Federal levou o prêmio por meio de um sorteio.","A principal ideia era que alguém forte passasse coragem para quem tinha que que se vacinar.","Vacina é um assunto sério, pois é por meio dela que as pessoas podem se imunizar de uma doença perigosa ou letal. Se houver falta dela, você está exposto a doença e podem ocorrer danos gravíssimos ao seu corpo por causa dela.","Não é preciso ter medo, pois a vacina é apenas um bem que ajudará seu corpo a resistir a doenças e não será algo doloroso como as crianças pensam.","Poliomielite é uma doença que causa paralisia nas crianças e não circula mais no Brasil desde de 1994.","Ele poderia ter sido feito por meio de cartas, pois assim os organizadores poderiam saber as ideias de cada criança expressadas no papel, de modo que todas as cartas fossem lidas.","Ninguém nunca tinha visto tanta carisma em um personagem, por isso elas sentiam empatia.","O criador do personagem Zé Gotinha trabalha atualmente como escultor e suas criações podem ser vistas no Centro Cultural Banco do Brasil.","As aspas servem para indicar a fala de uma pessoa no texto.","Pedaço sublinhado: virou nome até de prédio residencial na cidade.
Pedaço circulado: aqui, sou uma pessoa ilustre.","O sentido dado foi de que as pessoas não possuem mais medo e de que a campanha tornou-se um sucesso.","A expressão ""morrer de medo"" significa que a pessoa está com tanto medo como se estivesse morrendo disso.","A reportagem selecionou  esse desenho do Arquivo pessoal do criador do personagem."
"2021/07/08 9:03:18 PM GMT+1","5º ano","A ideia era que alguem passace corager.","O criador do ze´ gotinha.","propagandas assutadoras.","1986.","duar gotas da poli hoje e igual.","porque ele estava com medo desse vasinar.","pelo sorteio.","10 mil carta voran sugerica.","um menino do distrito federal.","35 anos.","porque sem a vacina de morre.","porque epara o bem.","e uma doensa que ja foi esterminada do Brasil.","porque nesa epuca nao escestia conputadores.","ele centivava as criancas a ce vasina.","escutura","para indica fala.","sublinhe:darlan virou ate nome de predio residencial na cidade.circule;aqui sou uma pessoa ilustre brinca.","queibrou","tem muito medo","arquivo pesual do Darlan"
"2021/07/08 9:04:53 PM GMT+1","5º ano","Zé Gotinha e um personagem criado para incentivar crianças e adultos a tomar vacina.","Darlan Rosa foi o criador do Zé gotinha.","Antes do Zé Gotinha,as propagandas de vacinas eram assustadoras,para mostrar que ficar doente era horrivel.","O Zé Gotinha foi criado em 1986 em Brasília para ensinar as criançasa que tomar vacina era necessario.","Antigamente,o Zé gotinha era a representação da vacina em si,hoje ele parece mais com as gotas da vacina.","Zé gotinha aparecia chorando no comercial pois,ainda não tinha um nome.","A escolha do nome do Zé Gotinha foi feita através de um concurso por meio de cartas.","Eles entederão que o nome devia ser Zé Gotinha pois mais de 10 mil cartas enviaram o nome Zé Gotinha.","A pessoa que levou o premio pela escolha do nome foi um garoto do Distrito Federal.","A ideia principal do Zé Gotinha era ensinar que tomar vacina e importante para a saúde.","Vacina e um assunto sério pois sem ela, muitas doenças como a poliomelite não teria sido extinta no Brasil.","A vacina e uma proteção criada por médicos e cientistas para que algumas doenças não prejudiquem a quem contrai o vírus.","Poliomelite e uma doença que pode causar paralisia em crianças e adultos e que não circula a muito tempo no Brasil.","O concurso pode ter sido feito por cartas pois,na quela epóca não existia tecnologias como as atuais.","O personagem incentiva as crianças a se vacinarem pois ele era um desenho animado,o que chamava muito a atenção das crianças.","Hoje Darlan Rosa e escultor em Brasilia.","As aspas servem para indicar que este trecho não e de quem escreveu a noticia,mas sim e uma fala de alguem.","Sublinhahodo:Darlan virou ate nome de predio residencial na cidade.
Circulado:Aqui sou uma pessoa ilustre","barreira dos medos:significa que as pessoa não tem mais medo de tomar vacinas
deslanchou:significa torno-se um sucesso","Morrer de medo significa ter uma quantidade de medo muito grande","Arquivo pessoal de Darlan Rosa"
"2021/07/08 9:04:58 PM GMT+1","5º ano","Zé Gotinha é um mascote de Darlan Rosa  ","Darlan Rosa Foi quem inventou o Zé Gotinha, em 1986","As propagandas de vacina antes da criação do Zé Gotinha eram propagandas assustadoras
que passavam na televisão","Zé Gotinha foi criado em 1986","O Zé Gotinha quando nasceu ele era um personagem sem nome era uma gotinha
que aparecia chorando pois não tinha nome, e hojeele é uma gotinha com nome que é feliz.","Pois ele não tinha nome","Por meio de um sorteio, que pessoas sugeriram um nome, enviando uma carta","Pois mais de 10 mil cartas foram enviadas com esse nome e os organizadores, entenderam que o nome seria esse","Um menino do Distrito Federal levou o premio","A ideia principal do Zé Gotinha, era Fazer que as crianças tivessem coragem para tomar vaicina ou querer tomar a vassina ","A vacina é um assunto sério pois  ela que ajuda agente a poder se livrar de algum virus que 
esta vagando pelo mundo tipo o covid-19, e so a vacina pode curar a gente  para que agente fique livre desse virus ou outro que estiver vagando por ai","Pois a vacina não doi e é tranquilo tomar, e mesmo se doer não vai ser muito duido so um poquinho","poliomielite é uma doença que causa paralisia nas crianças","o concurso foi feito por meio de cartas pois antigamente era dificil ter um computador ou talvez não tinha computador na época ","oque tem no personagem é que ele é uma Gotinha","O criador do Zé Gotinha ele atualmente ele trabalha como escultor","Isso serve para representar alguem falando","Sublinhado: Darlan virou até nome de prédio residencial na cidade
Circulado: Aqui, sou uma pessoa ilustre""","O sentido da palavra A barreira dos medos tem um sentido de tipo a barreiras onde fica os medos. Ja a palavra deslanchou tem um sentido de acabou","nesse fragmento significa ficar muito assustados para que eles tiver mais vontade de ir au posto de vacinasão","a reportagem selecionou esse dezenho do arquivo pessoal de Darlan Rosa"
"2021/07/08 9:05:20 PM GMT+1","5º ano","Zé Gotinha é mascote na campanha de vacinação de Poliomielite .","O criador e ilustrador de Zé Gotinha .","Segundo o texto essas propagandas de vacina antes da criação do Zé Gotinha eram assustadoras, fazendo as crianças terem mais medo de vacinar-se .","Zé Gotinha foi criado em 1986 .","Segundo Darlan Rosa Zé gotinha era a representação da vacina em si. Atualmente ele é tratado como um mascote .","Zé Gotinha aparecia chorando pois, não tinha um nome .","A escolha do nome foi feita pelo um concurso de cartas mandadas para a nomeação dele .","Os organizadores entenderam que o nome deveria ser Zé Gotinha pois, foram mandadas mais de 10 mil cartas para eles .","Quem levou o  prêmio foi um menino do Distrito Federal .","A ideia era que alguém forte passasse a coragem para quem tinha que se vacinar .","Vacina é um assunto sério pois, preveni doenças perigosas . ","É preciso não ter medo ao tomar vacina pois, ela preveni doenças graves .","Poliomielite é um doença que  causa paralisia nas crianças .","O concurso foi feito por cartas pois, os organizadores queriam que crianças do país mandassem sugestões de nome .","O personagem passa coragem para vacinar-se .","Hoje Darlan tem 74 anos e vive em Brasília .","Esse recurso serve para indicar a fala do entrevistado .","Sublinhado: ''Darlan virou até nome de prédio residencial na cidade"". Circulado: ''Aqui, sou uma pessoa ilustre .''","Deslanchou seria continuou .","Significa ficar com muito medo .","Esse desenho foi tirado do Arquivo pessoal de Darlan Rosa ."
"2021/07/08 9:08:16 PM GMT+1","5º ano","Zé Gotinha é um mascote ,que ajuda as crianças a não terem medo de vacinar. ","Darlan Rosa foi quem criou o Zé Gotinha.","As propagandas  eram assustadoras .","Ele nasceu a 35 anos ,ou seja ,em 1986.","Quando nasceu ele era meio azulado e apenas duas gotinhas de pólio, hoje ele é branco e possui mais detalhes .","Ele aparecia assim pois ainda não tinha nome."," A escolha foi feita a partir de um sorteio.","Eles entenderam que devia chamar assim pois receberam mais de 10 mil cartas com esse nome .","Quem levou foi um menino do Distrito Federal .","A primeira ideia era o Zé Gotinha representar a vacina em si.","É um assunto sério pois sem ela podemos ficar doentes.","Não e preciso ter medo pois ela vai te ajudar em doenças e te proteger.","É uma doença que acabou em 1944 e ela paralisava crianças.","Foi feito por meios de carta pois era a melhor tecnologia na época.","Havia a empatia e o carisma.","Atualmente ele é escultor.","Serve para indicar a fala de alguém. ","Fato -Darlan virou até nome de prédio residencial na cidade .Opinião -Aqui sou uma pessoas ilustre. ","O sentido é deixar o texto mais interessante para ler. ","Significa que todo mundo tinha muito medo de ficar doente.","Do arquivo pessoal de Darlan Rosa."
