"";"id";"texto_id";"estudante_id";"pergunta_id";"Pergunta";"Evidência";"Resposta";"Nível da rubrica";"predito"
"18";"358";1;18;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é o mascote da vacina .";"2";"2"
"19";"379";1;19;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha era um mascote que representava a vacina da poliomielite com o objetivo de passar coragem as pessoas para que elas se vacinassem.";"2";"3"
"20";"400";1;20;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"A ideia era que alguem passace corager.";"1";"3"
"21";"421";1;21;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha e um personagem criado para incentivar crianças e adultos a tomar vacina.";"2";"3"
"22";"442";1;22;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um mascote de Darlan Rosa";"2";"2"
"23";"463";1;23;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é mascote na campanha de vacinação de Poliomielite .";"2";"2"
"24";"484";1;24;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um mascote ,que ajuda as crianças a não terem medo de vacinar.";"3";"3"
"25";"505";1;25;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um ensentivo para as crianças tomarem as vacinas.";"3";"3"
"26";"526";1;26;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado por Darlan Rosa em 1986 para incentivar as crianças a tomarem as vacinas sem medo.";"3";"3"
"27";"547";1;27;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi um personagem que influencio as crianças tomarem vacina.";"2";"3"
"28";"568";1;28;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é o personagem para atrair pessoas para tomar a vacina.";"3";"3"
"29";"589";1;29;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que tem  representação de uma vacina.";"2";"2"
"30";"610";1;30;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi um personagem criado para dar a coragem para as crianças tomarem a vacina.";"2";"3"
"31";"631";1;31;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi um personagem criado para dar coragem para as crianças tomarem vacina .";"2";"3"
"32";"652";1;32;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha foi a criação de Darlan ROSA para as pessoas se vacinarem.";"2";"3"
"33";"673";1;33;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotimha é o personagem para atrair criãnças para tomarem vacina.";"3";"3"
"34";"694";1;34;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha e o personagem que Darlan criou no ano de 1986 sendo o representante da vacina em si não sendo o mascote que é hoje e ele nem sempre teve o nome de Zé Gotinha antes ele aparecia num comercial sentado em um cantinho chorando, justamente por ainda não ter um nome.";"4";"Não houve respostas suficientes."
"35";"715";1;35;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado por Darlan Rosa, para que alguém forte passasse coragem a quem precisava se vacinar, no começo Zé Gotinha sequer tinha um nome, mas as pessoas mandaram cartas com sugestões de nomes, mais de 10 mil cartas sugeriram esse nome, que prevalece até os dias atuais.";"4";"Não houve respostas suficientes."
"36";"736";1;36;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado pelo Darlan Rosa , criado com o intuito de encorajar as crianças a tomarem vacina, e hoje ele é um eterno mascote  para representar a vacina do Brasil. Ele nem sempre teve esse nome.";"4";"Não houve respostas suficientes."
"37";"757";1;37;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Personagem criado por Darlan Rosa com intuito de fazer as crianças perderem medo de se vacinar. O personagem não havia recebido um nome , por isso foi feito um concurso que pediu para todos os brasileiros enviarem sugestões de nomes para aquele personagem. para escolher um vencedor foi realizado um sorteio e um menino do Distrito Federeal levou o prêmio.";"3";"3"
"38";"778";1;38;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que representa a vacinação.";"3";"2"
"39";"799";1;39;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que representa a vacina.";"3";"2"
"40";"820";1;40;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"E UM MASCOTE QUE INSENTIVA AS PESSOAS A TOMAREM VASINA";"3";"3"
"41";"841";1;41;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um mascoti";"2";"3"
"42";"862";1;42;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ze gotinha nasceu da 35 anos";"1";"3"
"43";"883";1;43;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para dar coragem a criança tomar vacina.";"3";"3"
"44";"904";1;44;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"mascote de vacina";"2";"2"
"45";"925";1;45;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um personagem que para que passase coragem quem  vacinace";"3";"3"
"46";"946";1;46;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"mascote da vacinação.";"2";"1"
"47";"967";1;47;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"mascote da vacinação";"2";"1"
"48";"988";1;48;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um personagem para que passase coragem para quem vacinassse";"3";"3"
"49";"1009";1;49;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um personagem para que passasse coragem para quem vacinar";"3";"3"
"50";"1030";1;50;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"zé gotinha e a representação da vacina.";"2";"2"
"51";"1051";1;51;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado por Darlan Rosa para ser alguem que passase coragem para quem tinha que se vacinar.
";"3";"3"
"52";"1093";1;53;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"mascote";"2";"1"
"53";"1114";1;54;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um mascote";"2";"2"
"54";"1135";1;55;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O ze gotinha e uma gotinha.";"1";"2"
"55";"1156";1;56;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"mascote";"2";"1"
"56";"1177";1;57;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um     mascote";"2";"2"
"57";"1198";1;58;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha e uma representação da vacina";"2";"2"
"58";"1219";1;59;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"ele é um gota/mascote";"2";"2"
"59";"1240";1;60;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"o zé gotinha e uma gotinha que e uma vacina.                      
";"1";"3"
"60";"1261";1;61;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"MASCOTE DAS VACINAS.";"2";"2"
"61";"1282";1;62;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O ZÉ GOTINHHA É O REPRESENTANTE DO POSTO DE SÁUDE .";"1";"3"
"62";"1303";1;63;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"OZÉ GOTINHA É O MOTIVO DAS CRIANÇAS TEREN CORAGEM ANTIGAMENTE.";"1";"3"
"63";"1324";1;64;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"MASCOTE   DA  VASINA.
";"2";"1"
"64";"1345";1;65;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem desenvolvido por Darlan Rosa que ajuda as crianças com o medo da vacinação.";"3";"3"
"65";"1366";1;66;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ele e o mascote das vacinas .";"2";"3"
"66";"1429";1;69;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"menino da sus.";"1";"1"
"67";"1450";1;70;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Personagem da sus.";"1";"1"
"68";"1471";1;71;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O ZÉ´GOTINHA é uma gota de vacina.";"1";"2"
"69";"1492";1;72;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado em 1986 para conscientizar as pessoas sobre a importância de se vacinar contra poliomielite.";"3";"3"
"70";"1513";1;73;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O Zé Gotinha é um personagem que ajuda as pessoas a tomar vacinas.
";"3";"3"
"71";"1534";1;74;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que criaram para as pessoas não terem medo de se vacinarem.";"3";"3"
"72";"1555";1;75;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"MASCOTE DA VASINA.";"2";"1"
"73";"1576";1;76;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ele é o mascote das vacina.";"2";"2"
"74";"1597";1;77;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que insetiva os outros  a tomar vacina.";"2";"3"
"75";"1618";1;78;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é: O personagem que incentiva a vacinação.";"3";"2"
"76";"1639";1;79;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é uma representação da vacina em si.";"2";"2"
"77";"1660";1;80;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é representação da vacina.";"2";"2"
"78";"1681";1;81;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é  uma representação  da vacina .";"2";"2"
"79";"1702";1;82;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ele é um mascote de um posto de vacinação desenvolvido pela Darlan Rosa ele nasceu em 1986.";"2";"3"
"80";"1723";1;83;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"o zé Gotinha é um mascote da campanha de vacinação, que nos influencia a tomar vacina.";"3";"2"
"81";"1744";1;84;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O zé Gotinha é um mascote que fala sobre vacinas";"2";"2"
"82";"1786";1;86;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O personagem Zé Gotinha já é um velho conhecido dos brasileiros, desde a década de 1980, quando o mascote foi criado para encorajar as crianças na hora de se vacinar contra a poliomelite.";"4";"Não houve respostas suficientes."
"83";"1807";1;87;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O ZÉ Gotinha é uma gotinha que cuida das pessoas ; protege as pessoas.";"1";"3"
"84";"1828";1;88;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha e um mascote para passar coragem as pessoas , porque as pessoas não gostavam de se vacinar.";"3";"3"
"85";"1849";1;89;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha era um personagem que tinha o objetivo de passar coragem para quem tinha medo de se vacinar";"2";"3"
"86";"1870";1;90;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote da vacinação.";"2";"2"
"87";"1891";1;91;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha ajuda as crianças não terem medo da vacinação.";"2";"3"
"88";"1912";1;92;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.";"3";"3"
"89";"1933";1;93;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.";"3";"3"
"90";"1954";1;94;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É o mascote de vacinação";"2";"2"
"91";"1975";1;95;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha é um personagem.";"2";"2"
"92";"1996";1;96;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"personagem mascote da vacinação.";"2";"1"
"93";"2038";1;98;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha e um boneco que foi formado com as duas gotinhas da polio e ele encorajava as crianças a tomar as vacinas sem medo";"3";"3"
"94";"2059";1;99;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"o mascote da vacinação";"2";"2"
"95";"2080";1;100;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem , que tinha como função encorajar as pessoas a se vacinar.";"2";"3"
"96";"2101";1;101;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"o Zé Gotinha e um personagem criado por Darlan Rosa";"2";"3"
"97";"2122";1;102;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ele era um boneco que representava a vacinaçao.";"2";"3"
"98";"2143";1;103;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Um personagem que foi criado por Darlan para tirar o medo das crianças de tomar vacina";"3";"3"
"99";"2185";1;105;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha é um mascote de vacinação.";"2";"2"
"100";"2206";1;106;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um mascote criado para convencer as pessoas a se vacinarem contra doenças";"3";"3"
"101";"2227";1;107;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"é um personagem que foi criado por Darlan Rosa, e que tem o intuito de fazer procapanas sobre a vacinação.
";"2";"3"
"102";"2248";1;108;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um personagem de uma propaganda criado para espalhar coragem.";"2";"3"
"103";"2269";1;109;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Um personagem criado para as campanhas de vacinação";"3";"3"
"104";"2290";1;110;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"zé gotinha  é  um personagem fofo das vacinas  criado para as crianças não terem mais medo das vacinas.";"3";"3"
"105";"2311";1;111;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha é um personagem criado por Darlan Rosa para ajudar as crianças que tinham (ou tem) medo da vacinação .";"3";"3"
"106";"2332";1;112;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que representa a Gotinha da vacina que as crianças tomam";"2";"3"
"107";"2353";1;113;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um personagem que representa a gotinha que as crianças tomam";"2";"3"
"108";"2374";1;114;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É uma representação da vacina em si.";"2";"3"
"109";"2395";1;115;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem fictício criado por Darlan Rosa, com o intuito de fazerem as crianças perderem o medo da vacinação.";"3";"3"
"110";"2416";1;116;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha, é um personagem criado para ajudar as crianças a não terem mais medo da vacina.";"3";"3"
"111";"2437";1;117;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"ze gotinha e um personagem que demonstra gotas da vacina que salvam crianças de ter paralisia que o nome significa poliomielite";"2";"3"
"112";"2458";1;118;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha foi um personagem criado por Darlan para tirar o medo das crianças de se vacinarem.";"2";"3"
"113";"2479";1;119;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Era uma ideia para que as pessoas não tivessem medo de vacinar.";"2";"3"
"114";"2500";1;120;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para aparecer nas propagandas de vacinas para crianças e adultos,antes ele não era um mascote,mas hoje é.";"3";"3"
"115";"2521";1;121;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É a representação da vacina";"2";"2"
"116";"2542";1;122;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem que foi criado por Darlan Rosa para estimular crianças e adultos a tomarem vacinas.";"2";"3"
"117";"2584";1;124;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é duas gotas de pólio e que essas gotinhas são uma doença que fazia paralisia em crianças.";"1";"3"
"118";"2626";1;126;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um personagem que foi inventado para a campanha de vacinação para as crianças não terem tanto medo de tomar vacina.";"3";"3"
"119";"2647";1;127;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é uma representação da vacina em si.";"2";"2"
"120";"2668";1;128;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para influenciar as crianças a si vacinar .";"3";"3"
"121";"2689";1;129;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um mascote criado para encorajar crianças na hora de tomar vacina.";"3";"3"
"122";"2710";1;130;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Ele é um personagem feito de gotas da vacina.";"2";"3"
"123";"2731";1;131;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um personagem criado por Darlan Rosa para incentivar as crianças a tomarem a vacina";"3";"3"
"124";"2752";1;132;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é o mascote da vacinação.";"2";"2"
"125";"2773";1;133;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"personagem";"2";"1"
"126";"2794";1;134;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"É um personagem que tirou o medo de vacinar das crianças .";"2";"3"
"127";"2815";1;135;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.";"3";"3"
"128";"2";1;1;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"o criador do Ze Gotinha";"3";"2"
"129";"23";1;2;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Quem inventou o personagem da vacina.";"3";"4"
"130";"44";1;3;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do Zé gotinha.";"3";"3"
"131";"65";1;4;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do Zé Gotinha.";"3";"3"
"132";"86";1;5;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador de Zé Gotinha.";"3";"3"
"133";"107";1;6;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan foi o criador do Zé Gotinha.";"3";"3"
"134";"149";1;8;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Ele foi o criador do zé gotinha";"3";"3"
"135";"170";1;9;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Ele foi o criador do zé gotinha.";"3";"3"
"136";"191";1;10;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa e o criador do Zé Gotinha.";"3";"3"
"137";"212";1;11;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Ele  foi o criador do Zé Gotinha.";"3";"3"
"138";"233";1;12;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Foi o criador do zé gotinha.";"3";"3"
"139";"254";1;13;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Foi o criador do Zé Gotinha.";"3";"3"
"140";"275";1;14;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"O criador do Zé Gotinha.";"3";"3"
"141";"296";1;15;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa é o criador do Zé Gotinha.";"3";"3"
"142";"317";1;16;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"foi o criador do Zé Gotinha";"3";"3"
"143";"338";1;17;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do Zé Gotinha.";"3";"3"
"144";"359";1;18;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do zé gotinha .";"3";"3"
"145";"380";1;19;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa é o pai do personagem Zé Gotinha, criado em 1986.";"2";"4"
"146";"401";1;20;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"O criador do ze´ gotinha.";"3";"2"
"147";"422";1;21;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do Zé gotinha.";"3";"3"
"148";"443";1;22;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa Foi quem inventou o Zé Gotinha, em 1986";"3";"4"
"149";"464";1;23;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"O criador e ilustrador de Zé Gotinha .";"3";"3"
"150";"485";1;24;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi quem criou o Zé Gotinha.";"3";"3"
"151";"506";1;25;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa é o criador do Zé Gotinha .";"3";"3"
"152";"548";1;27;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do Zé Gotinha.";"3";"3"
"153";"569";1;28;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa é o criador do Zé Gotinha.";"3";"3"
"154";"590";1;29;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi a criador do Zé Gotinha.";"3";"3"
"155";"611";1;30;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa era a criador do Zé Gotinha.";"3";"3"
"156";"632";1;31;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do personagem Zé Gotinha .";"3";"3"
"157";"653";1;32;2;"Quem é Darlan Rosa?";"Localizar informação explícita no texto";"Darlan Rosa foi o criador do zé gotinha.";"3";"3"
